ox,oy,dx,dy
1.784219725732074480e+01,1.706098688987884771e+01,2.367884202637148050e+00,4.945988663720211065e+00
1.910966546863849658e+01,1.894885438519127163e+01,4.803826126592707801e+00,2.402602579318331433e+00
1.752701801081049382e+01,1.891371279569212049e+01,4.346950756640667102e+00,5.144329272502463191e+00
4.301153774153551268e+00,1.840481170622745921e+01,1.949834917928752631e+01,3.761370572142195279e+00
4.097859536526920365e+00,1.710878887929414560e+01,1.894303112129045630e+01,4.055393725576259101e+00
3.753217954059972605e+00,1.799036752896291702e+01,1.808904507924820138e+01,2.302187547560263781e+00
2.302526817095736700e+00,1.846868577894229091e+01,1.718363718626127934e+01,4.578018790460020249e+00
3.976521056536229892e+00,1.815612882126483996e+01,1.940475225524646063e+01,2.524645287673095595e+00
3.316793275945892461e+00,1.880243397362318092e+01,1.834420224947867695e+01,3.870444421455550899e+00
3.077636108182241426e+00,1.883833676062276652e+01,1.868173874978208815e+01,3.622876884972511480e+00
1.821012809904053675e+00,1.877354107764082869e+01,1.757433988249738732e+01,3.203111491485181261e+00
3.780269209423780641e+00,1.967376948102664613e+01,1.941542796110002556e+01,4.371016296644270938e+00
4.123941330238897862e+00,1.847944804859305634e+01,1.861532114303863139e+01,3.285182426703952441e+00
3.662551325147862080e+00,1.938042004598534263e+01,1.848875957020717209e+01,2.948797845848499577e+00
3.701879783475880537e+00,1.870556554749837375e+01,1.955762470538276787e+01,4.463003080988562132e+00
3.762888494859278676e+00,2.030107895307019916e+01,1.745846264599309805e+01,3.191109002472797940e+00
3.896478113745851068e+00,1.826376892879669001e+01,1.818207339791458921e+01,4.567658678767637426e+00
3.847373047944033786e+00,1.744100349566125630e+01,1.670909888438375646e+01,4.226542143512542538e+00
3.652253999883876112e+00,1.872353696706548121e+01,1.861331657320458532e+01,3.745716271093072702e+00
5.462507825534505201e+00,1.885300569444692442e+01,1.980379409304192606e+01,4.553687252311023670e+00
4.092773345169255172e+00,1.863964893687019853e+01,1.975335860953487810e+01,5.315126273596038509e+00
3.706802001744601061e+00,1.870747822585514442e+01,1.912874708751294506e+01,3.960181400472788660e+00
4.079914104911811279e+00,1.818680344356393874e+01,1.886028613151085764e+01,4.123758220949945041e+00
4.086393100824135871e+00,1.678720363791953574e+01,1.966978758170451158e+01,2.407423777718109115e+00
4.215130084302590063e+00,1.848880622829098641e+01,1.971889694581825836e+01,3.858246279416468472e+00
3.856357991657886952e+00,1.764413927948577410e+01,1.678776989765436056e+01,4.576205584622605294e+00
3.277584614765447490e+00,1.945292709973076839e+01,1.909292611720248445e+01,2.514476750868789523e+00
3.770735508498091804e+00,1.931978499680306527e+01,2.028194113436509838e+01,4.853273339558545452e+00
1.879664477779815357e+01,2.082702001777556688e+01,3.718242695713182222e+00,3.633179189278733645e+01
1.732726629686901987e+01,2.059722178951894733e+01,3.760053563927049147e+00,3.750031908805795666e+01
1.954129938645871434e+01,2.238481602836457540e+01,4.108261483081404819e+00,3.757900100013030453e+01
1.831252782431267789e+01,2.017103081549904076e+01,3.434163542075264974e+00,3.629444995821453546e+01
1.898800833744726901e+01,2.107760669284624555e+01,4.984975362300195556e+00,3.645407652556954048e+01
1.869892991151774808e+01,2.298440540545859534e+01,4.196543046071284699e+00,3.618562263965283421e+01
1.898975372627809932e+01,2.122304826669640221e+01,2.991212196436800586e+00,3.621514367696993730e+01
1.873813553185545544e+01,2.101678444170119064e+01,4.519867660909933527e+00,3.658111508563187186e+01
1.817592201889538472e+01,2.290192567405511070e+01,3.598001479800902125e+00,3.607577637722778263e+01
1.811880939932062518e+01,2.077567142250757826e+01,3.458258382906302053e+00,3.832739698439780085e+01
1.846438039747805249e+01,2.191945031534570987e+01,5.317028133374291698e+00,3.758331112738191138e+01
1.917911325059960603e+01,2.164565461444657402e+01,4.156064772517964023e+00,3.547415786032340179e+01
1.900948462008189921e+01,2.068448494243624936e+01,3.875480395144372814e+00,3.681685187007369109e+01
1.833560498524184723e+01,2.067664914972237966e+01,5.307690199478207305e+00,3.754308136179442101e+01
1.758650302243545838e+01,2.033067821364764072e+01,5.324598354682024137e+00,3.690697045554694000e+01
1.901928737829689098e+01,2.169686139738938024e+01,3.493772165923476170e+00,3.477854849902062284e+01
1.820508471795875138e+01,2.178034782262353986e+01,3.151078179841145133e+00,3.548931751372587939e+01
1.987549237391380075e+01,2.014843018829784071e+01,4.569272058071145892e+00,3.634482170379802568e+01
1.970313810019137790e+01,2.295569993919768592e+01,3.994484507485655200e+00,3.792576483973854096e+01
1.994080696955633414e+01,2.168516302099079951e+01,3.390555898009365965e+00,3.524277483931354027e+01
1.878053557108550464e+01,2.150778939438307447e+01,4.507840435772328291e+00,3.744394475165721303e+01
1.869870141073637981e+01,2.244815874633800235e+01,2.636558098925649851e+00,3.574333015010365955e+01
1.897923634222549083e+01,1.999873196958964527e+01,4.046405005281171086e+00,3.776955756979096890e+01
1.830239435122481595e+01,2.076596970183359758e+01,3.510560543544658518e+00,3.636256183496787031e+01
2.044494955855354590e+01,2.149089930145832739e+01,4.238498385735233853e+00,3.570762297080805325e+01
1.846920304778408806e+01,2.189530455464529979e+01,7.784652724468712037e+00,4.077087236020972938e+01
1.769066785376914908e+01,2.026258955881565527e+01,8.306363830652466973e+00,4.147594950955741666e+01
1.777571854942602414e+01,2.126983970093708365e+01,9.854877279872143347e+00,4.097406687061180008e+01
1.876768245631817322e+01,2.149126541217227171e+01,9.639421337645520893e+00,4.063721503096751775e+01
1.916741511557614075e+01,2.190046027734051037e+01,1.160831325365502664e+01,4.114631642900994990e+01
1.692876277037588650e+01,2.141705564302022324e+01,8.763159358775684638e+00,4.233350747981969420e+01
1.907699733763568162e+01,1.928178152050389471e+01,9.111311339180341307e+00,4.096844839148899098e+01
1.902125255494063794e+01,1.954605529680759446e+01,1.053145200352647848e+01,4.100517085732524691e+01
1.903835368965394892e+01,2.124816010663664301e+01,9.778599605851317378e+00,4.076838542751010408e+01
1.816011856814717973e+01,2.178990298601812370e+01,9.726314550365879441e+00,4.196547526134495598e+01
1.733480118269466885e+01,2.240094106740533775e+01,9.847576751276807983e+00,4.134816578741194348e+01
1.986864404902850367e+01,2.131336078129667300e+01,8.724170528811496794e+00,4.183637897822971752e+01
1.948824779643133809e+01,1.986441749472520257e+01,1.046932869243728703e+01,4.142890323813860931e+01
1.770746476379493473e+01,1.999303500546823287e+01,9.711531044458341810e+00,4.037733525398327572e+01
1.871872659469334366e+01,2.115117810722015790e+01,9.333401314851570874e+00,4.105733244206246724e+01
1.798979455725641685e+01,2.143259893580682984e+01,1.094822744602641862e+01,4.165328531688735580e+01
1.958630547497928021e+01,2.081415166323018795e+01,8.514011585387988745e+00,3.966149610934271408e+01
2.066114797153929672e+01,2.166280349203006494e+01,1.029293125173104428e+01,4.167336141583555076e+01
2.011944102635671783e+01,2.255586947593626235e+01,1.104761951119937358e+01,4.097321216973024605e+01
1.806481673641638253e+01,2.192711441546132178e+01,1.038361028175960143e+01,4.155881060359396173e+01
1.887367675976738823e+01,2.140286820372510235e+01,8.536577815531696700e+00,4.111874168115016914e+01
1.942671108038126349e+01,2.174776895310209923e+01,9.267042672030445516e+00,3.923951207289905341e+01
1.766759915624668409e+01,2.083874334537608419e+01,9.012768422105855493e+00,3.959303490015083327e+01
1.910313863530827305e+01,2.316520895555053272e+01,1.131999116580235487e+01,4.051928915390914199e+01
1.826430576402022155e+01,2.085581820566243039e+01,9.931456393798519855e+00,3.971603403632707341e+01
2.200561444462762140e+01,2.120745005089183266e+01,3.562708655035796568e+01,3.520210944391318719e+01
2.214566053716214356e+01,2.013323893914731144e+01,3.651214339344437576e+01,3.670536859513752148e+01
2.135726974411683443e+01,2.126103705762375995e+01,3.664634689992548999e+01,3.809318806890772890e+01
2.055302708858688732e+01,2.092720730293408238e+01,3.744915011564475549e+01,3.504019343631384942e+01
2.128861419484431750e+01,2.133998478170540736e+01,3.602941485554855916e+01,3.674492805475795620e+01
2.186033123470043904e+01,2.293743308340121700e+01,3.447215817049255548e+01,3.692400995303239597e+01
2.090969211644075187e+01,2.123094011281262539e+01,3.623402170858803117e+01,3.635379360141720895e+01
2.062303780902023576e+01,2.004034089270898633e+01,3.781095679984428415e+01,3.681233412483848610e+01
2.126970842334819167e+01,2.071340133304688891e+01,3.602669272324809668e+01,3.536858906077021203e+01
2.143763065749310215e+01,2.155178337758628260e+01,3.458467597912135716e+01,3.585872849044277899e+01
1.937770184055782252e+01,2.085904008141523747e+01,3.585829841214017222e+01,3.541754113325296771e+01
2.013883113907790445e+01,2.179289805502351385e+01,3.627546684581331959e+01,3.643685243662015694e+01
2.178993637634769343e+01,2.312346559481637698e+01,3.589955507939878032e+01,3.656515921511647349e+01
2.068566747078910595e+01,2.108767125821402999e+01,3.704329542048128587e+01,3.827268614994309814e+01
2.101482145724577677e+01,2.303598299356127299e+01,3.567985663916478245e+01,3.664253882951570063e+01
1.935186182245015729e+01,2.086383829782974431e+01,3.610632194511765647e+01,3.602074234959186327e+01
2.155834377905094712e+01,2.209696304473862583e+01,3.790623063632876466e+01,3.571817386831587271e+01
2.285028278087976261e+01,2.017279821124174788e+01,3.625056715991704692e+01,3.621823312935200079e+01
2.092653502421565292e+01,2.190428981240406614e+01,3.616096893644773047e+01,3.627783658633731534e+01
2.077069313695385233e+01,2.086024163761232941e+01,3.575435762258113215e+01,3.661639707167677926e+01
2.282115508749391708e+01,2.276362935438991997e+01,3.637918953509583275e+01,3.636186494113486134e+01
1.991798299506904257e+01,1.982798274586748732e+01,3.421095131165026970e+01,3.660301874958278745e+01
2.123309538629210635e+01,2.178003088195599801e+01,3.712273753506987362e+01,3.751239192281870061e+01
2.300908100267143297e+01,2.082125205051638517e+01,3.534211135347506172e+01,3.575612242064783430e+01
2.072871165925029402e+01,2.174801916154030934e+01,3.608869138613625438e+01,3.460617700180965528e+01
2.294907004613780899e+01,2.222950726447460923e+01,3.964837442000588652e+01,3.070568352592485795e+01
2.108250182303154574e+01,2.185243193538541817e+01,3.905239026461966034e+01,3.089011041583620809e+01
2.068352296201470253e+01,2.079990792005621358e+01,3.956168258804930815e+01,3.078667727128219767e+01
2.132936473551750467e+01,2.093527632238595970e+01,3.901617301372289859e+01,3.002273686391445295e+01
1.960157103321542493e+01,2.085451464631983853e+01,4.077203439660674178e+01,3.190554784815480005e+01
2.138545637234622632e+01,1.965406248725825478e+01,3.903669973272785398e+01,2.961999876051554281e+01
2.214889244926978051e+01,2.259677791582852180e+01,3.829167022040730473e+01,3.097238967895894035e+01
2.120073713832706730e+01,2.124276820498449325e+01,3.954943487321149576e+01,3.103942713381114871e+01
2.212401987737005626e+01,2.055117599531631711e+01,3.959958649909422235e+01,3.014416126187597911e+01
2.139398425495274481e+01,2.176053496846968471e+01,3.973207929251523751e+01,3.096974944325251755e+01
2.133347601442333641e+01,2.153701801981317487e+01,4.057937006889147824e+01,3.204529357415978552e+01
2.128460432971827387e+01,1.973684961476838851e+01,4.016601855983391545e+01,3.072200766502433211e+01
2.146084802457325225e+01,2.090859914900359229e+01,4.033193667544677652e+01,2.980732630790068072e+01
2.131229489141968259e+01,2.230154793397612067e+01,3.932606744840146007e+01,3.068153432672194114e+01
2.078403265011053236e+01,2.221699899948122692e+01,3.936138861446848125e+01,3.064200342178250480e+01
2.101147181426871313e+01,2.098582116712590206e+01,4.013013736250648122e+01,3.112694373534563397e+01
2.050924557218589328e+01,2.188650802071981261e+01,4.012291778633829864e+01,3.108199578436666854e+01
2.122483863328651665e+01,2.122576702024263184e+01,3.927753734791122042e+01,3.123665827447363696e+01
2.129985513717375767e+01,2.130000324992979444e+01,3.841237868228581931e+01,3.054564591266028728e+01
2.156067952790099795e+01,1.955876107405948972e+01,3.941600419679818401e+01,3.006588977220881631e+01
2.177102210421123019e+01,2.061516859406782842e+01,3.807054441893204455e+01,3.067504849179527682e+01
2.249011100459184931e+01,1.992986184533107519e+01,3.969691377885178696e+01,3.050995224522936411e+01
2.054127514195229409e+01,2.065998392905941117e+01,3.914183138398928463e+01,3.112036073546686410e+01
2.064466136371951421e+01,2.073968873074968755e+01,4.092559766419798706e+01,3.090297695256666799e+01
2.073754879160373221e+01,2.148413206708831424e+01,3.852963178435373948e+01,3.120765777198466751e+01
2.126694776264703890e+01,1.852285147880462191e+01,3.682627173183023928e+01,3.100339313225630278e+00
2.184327991883717957e+01,1.911352369571202559e+01,3.620233250262754865e+01,3.612738168392589877e+00
2.158316133748674304e+01,1.663075652378214642e+01,3.674395887171557007e+01,3.013917510311728165e+00
1.954746614550196782e+01,1.918193591207755588e+01,3.642841629798630976e+01,4.196162146486173583e+00
2.163699436055317094e+01,1.907110991220408280e+01,3.657975729299434420e+01,3.416807496343272632e+00
2.207535461096281537e+01,1.888465793720711972e+01,3.687662385762820350e+01,3.064756908280638292e+00
2.221327898784727850e+01,1.866197899101987545e+01,3.630301497492335017e+01,3.954178399280238843e+00
2.105302036689933942e+01,2.030045635130376169e+01,3.555979014765939894e+01,3.661020785942649347e+00
2.136776052314780827e+01,1.867903693039911417e+01,3.713363150522540224e+01,3.306277635995763742e+00
2.121812517769576800e+01,1.869905528277466900e+01,3.554230363496500189e+01,2.111884650017801679e+00
2.105175468246187620e+01,1.869529612775281535e+01,3.524582777839426484e+01,2.026852846505496686e+00
2.241986350246333615e+01,1.942129063205756978e+01,3.569187080087558428e+01,3.460264465653828392e+00
2.213702155476701350e+01,1.843213323566180506e+01,3.622676393048432431e+01,4.316063356642176885e+00
2.110695871452280770e+01,1.691066058616191370e+01,3.748999058496022485e+01,3.537616426224454269e+00
2.070196161655492872e+01,1.862930193302851478e+01,3.602438203455763244e+01,3.794346459874932354e+00
2.205494855174545776e+01,1.941124271171787541e+01,3.602080700288040305e+01,4.386811584638810046e+00
2.197457135275667284e+01,2.003795115188783882e+01,3.628486249375657735e+01,3.588201429571591827e+00
2.024757457690921569e+01,1.917784486473510697e+01,3.567347415665237520e+01,3.196733025053551280e+00
2.086459473340936199e+01,1.921136116585120135e+01,3.616746495015670604e+01,3.902481785312491347e+00
2.099794679619219906e+01,1.858447776333785129e+01,3.590506855176828083e+01,4.823660744003511525e+00
2.231673401011640934e+01,1.922891359803425004e+01,3.660082682183434599e+01,5.026495143309589686e+00
2.159174000128757953e+01,1.877558256624183741e+01,3.814329348994719737e+01,4.690649488766196917e+00
1.931351831311863521e+01,1.856119231430765026e+01,3.600878374841618523e+01,3.406170473479527061e+00
2.242626425329091333e+01,1.890387485056760042e+01,3.586101250079946112e+01,3.684288877740705015e+00
2.164516305636229632e+01,1.883553696143233580e+01,3.649092378651695867e+01,5.699434513980480510e+00
2.128774036985576856e+01,1.381621916630955837e+01,3.744062724006023757e+01,-2.074689010171930637e+00
2.127637834617068791e+01,1.366763267720318353e+01,3.621313731636971767e+01,-1.539599988611978221e+00
1.975386833638248518e+01,1.394620285014506145e+01,3.615326162176493341e+01,-3.035260181266671076e+00
2.096915307327763855e+01,1.392320066246812615e+01,3.680931341307038451e+01,-2.059979348384793241e+00
2.176310237539104619e+01,1.337583534208427061e+01,3.612797220610202231e+01,-1.343508259766483581e+00
2.130886945281102740e+01,1.367142710017843044e+01,3.503174477112570884e+01,-1.207443306612521638e+00
2.159277576877651583e+01,1.357244673621774034e+01,3.584643187802404896e+01,-1.467353917181918987e+00
2.226018350376918065e+01,1.211421487027018884e+01,3.611820209325531295e+01,-2.164672408506736812e+00
2.179556284221566642e+01,1.383326612784534149e+01,3.577754606036683782e+01,-8.729460562874846730e-01
1.971398218540009140e+01,1.244516360076637973e+01,3.742637664038584688e+01,-5.327733115299936317e-01
2.118742575755036839e+01,1.337027244670030512e+01,3.690172758901739769e+01,-6.122918636057859132e-01
2.102627464455250816e+01,1.323810024126016849e+01,3.651748515942600903e+01,-1.335984682561177639e+00
2.104702728375258403e+01,1.552206780933321362e+01,3.673330348427258230e+01,-1.154022688691262122e+00
2.049254519852418710e+01,1.410739858772698874e+01,3.604662298084569727e+01,-2.330243764893453751e+00
2.185081008372352684e+01,1.383784804523027390e+01,3.786941102899937306e+01,-1.879753504038570888e+00
2.251946638414788637e+01,1.451864087547809490e+01,3.631420971459767344e+01,-1.285008573285247424e+00
2.119915146530913219e+01,1.365969554764345695e+01,3.607488328889724727e+01,-2.578680723234049399e+00
1.965943325553056198e+01,1.276544231052448453e+01,3.622048681112335089e+01,-1.067554153172301845e+00
2.183819837309857093e+01,1.540099756094006800e+01,3.640476422223989061e+01,-2.370777939421619962e-02
2.112765834257251996e+01,1.375815686845972863e+01,3.736625738755274995e+01,-2.717845331748165894e+00
1.963291829462112048e+01,1.399551736667684843e+01,3.670792149135407101e+01,-1.561204534316470216e+00
2.333251406125142680e+01,1.384502351922083108e+01,3.569839171794508559e+01,-4.388383459865918823e-01
2.195213906176001117e+01,1.451422048457332892e+01,3.519671731455483865e+01,-2.514752125174457120e+00
2.044456300100538115e+01,1.285205430460747955e+01,3.646702947008002837e+01,-9.673559666937143753e-01
2.273970284317277901e+01,1.363500717537004547e+01,3.637996007758763994e+01,-1.613389704235613120e+00
3.779331023632327202e+01,1.069720113359510805e+01,2.792836372810976542e+01,3.823240152000260395e+01
3.744506550447521676e-01,3.721133515174760475e+01,2.443426978741610256e+01,1.540416915781303686e+01
2.229516339077341414e+01,3.564766563307409086e+01,3.091726427756638174e+01,1.971156776873444727e+01
2.078419446696803519e+01,3.935998490423168050e+01,9.750818802152123155e+00,-3.105853960932920543e-01
2.903775675772063281e+01,2.963206668751335826e+01,2.427314838119740159e+01,7.925845515241142003e+00
1.249979903463324504e+01,2.542740362125348241e+01,1.150606889848631198e+01,1.963042337230565693e+01
1.406080160157158332e+01,2.016444354167351349e+01,9.622109663522277145e+00,4.742741555524177421e+00
3.143018096281258877e+01,1.400763299116225014e+01,9.760498555086886796e+00,3.734389717504257078e+01
1.706973522407910693e+01,6.851070863329900007e-01,3.030872034827141093e+01,8.786611907219196382e+00
2.413728803394463895e+01,2.575569661527245202e+01,4.130822730903857121e+01,4.399170591658168483e+00
1.199067612128253479e+01,4.098728411766488477e+01,3.075146150512622967e+01,1.714765741132687893e+01
3.146367552056278782e+01,1.537305392101925250e+01,1.743063049246254081e+01,2.686842216324854427e+00
2.227063421506232288e+01,7.932158255469325958e+00,2.709112455272492426e+01,1.464343584760242933e+01
3.660406688035877210e+01,3.304596036270970671e+01,6.103035974345882408e+00,2.414622161557937474e+01
3.055473182108924846e+01,2.036205365935627043e+01,4.634313294970317187e+00,1.980944349528505910e+01
1.841799714361330587e+01,1.104683488351529164e+01,2.488462919916118921e+01,1.100328654551525887e+01
9.889734574918502830e+00,3.129527890468197171e+01,8.930968111011036825e+00,3.472082860134923266e+01
4.202502840839404286e+01,1.674815149438531492e+01,3.481802533604292904e+01,3.276847083235185032e+00
3.416595043314551106e+01,4.248055734981119969e+01,2.205348229043394781e+01,7.589311419013584192e+00
6.660215996159270624e+00,4.021747678556670991e+01,1.373660646055538237e+01,1.950120153539250367e+01
1.844101209974569144e+01,1.645079373064200823e+01,3.278109664332821893e+01,4.113235361132893786e+01
2.722860374761182101e+01,4.221747434227498985e+01,7.940192420360934200e+00,2.280562820402643709e+01
2.933459883280896818e+01,3.026224011922336388e+01,3.237440303503575478e+01,1.141194978257770742e+01
3.783456779112432145e+01,1.466881131093924928e+00,1.174709827854660027e+01,1.810457241269903506e+01
2.529355755826813024e+01,9.542555976256497985e+00,3.894222921559385497e+01,1.727186106232329621e+01
4.046151469217506680e+00,3.540031614623824652e+01,4.143266764460757656e+01,1.206250911043142082e+01
2.367926073446824020e+01,2.375021693777142318e+01,3.435253010660397877e+01,2.460808283065849977e+00
3.606529956552228100e+01,3.058971162804211730e+01,1.219107413400868367e+00,2.295264319281719878e+01
9.215107013582806150e-01,1.947336823644822701e+01,2.561400219312304216e+01,2.630796849867924792e+01
3.976561673549394271e+01,9.630078764966317095e+00,3.620842074631387675e+01,1.729034383303189415e+01
2.853220967571758848e+01,3.485191094830364023e+01,3.099987589210267558e+01,3.423762356584867916e+01
2.719812941437085740e+01,3.449829164726400421e+01,3.899356205975225009e+01,3.961478347560224478e+01
1.387989553859690695e+01,4.294984050532409725e+01,2.202127963888647955e+00,2.539578117645384481e+01
2.111143287379284672e+01,6.343059377878566885e+00,2.283674978908363684e+01,-1.779159910366941322e+00
2.363909500545408804e+01,3.714864569303077957e+01,5.802220055840947133e+00,1.102697633396980947e+01
2.698437493753867145e+01,1.270300116656946443e+01,1.764461269870341198e+01,1.167364357468137115e+01
2.056887583764642002e+01,1.338896415035419096e+01,5.943790444352152313e+00,4.779882562316584149e+00
3.134702677077818578e+00,1.805239294002251782e+01,3.624463863572114519e+01,-5.648647841636158518e-01
2.817722123353267705e+01,1.571063939296971057e+01,3.736725358681488274e+01,1.290108185097555094e+01
2.972079070953862256e+01,1.466841860128941022e+01,2.313063270848746100e+01,3.322285114107033621e+01
4.153652280095705152e+01,1.623966878026364746e+00,2.257525283022179252e+01,1.494679693455958969e+00
1.028251160541906684e+00,3.189014021197948523e+01,4.220265796293418958e+01,2.435906616853636208e+01
2.840234073702454509e+00,-1.987825932188635569e+00,1.330336268205661199e+01,1.376851650383231984e+01
-1.228925061699832899e-01,3.656695627545141747e+01,1.995996269530017742e+01,4.412160103372522713e+01
3.791893997536305960e+01,1.968744900927345753e+01,2.680869739853090650e+01,1.049378438713977957e+01
1.281972589403357254e+01,1.392798346434033441e+00,2.327980319178479363e+01,-1.003250470773017433e+00
1.902131561181098363e+01,1.084787795700603397e+01,3.387337373129543039e+01,1.379623970101157937e+01
3.866865975079252138e+01,4.321623586589880439e+00,3.992412740726673093e+01,2.425457033261645634e+01
4.906326010615796207e+00,1.975527491711981654e+01,1.128825566591986984e+01,3.194374860695557317e+01
2.785673193649975588e+01,-1.938035930145524333e+00,1.775451825363401426e+01,3.876156091369920631e+01
1.733449618730854525e+01,3.167686424272296364e+01,4.609908990542009199e+00,3.776334535387884728e+01
2.142289646586803542e+01,4.174521003419619802e+01,2.293066257941938701e+01,3.294046388588458285e+01
4.172048343181354824e+01,3.097170289627368334e+01,2.465721864017015363e+01,1.306866876253544518e+01
1.547761554939158124e+00,1.631898843695348233e+01,1.753559840048515639e+01,3.559830918665092980e+01
7.888681070445147547e+00,3.162820096954475702e+01,1.333348538240389569e+00,3.872350376425845297e+01
2.857554351875906562e+01,1.582026900236543554e+01,1.118408600565926392e+01,4.068391923663058130e+00
2.501901082460598857e+01,1.521771764875962063e+01,3.182018226577792674e+01,3.973108197210866166e+01
1.248676891625203567e+01,2.704951955636161642e+01,1.797820092569216399e+01,-2.925288764753720461e+00
2.630629660172154871e+01,1.292028728878267074e+01,3.031941697148686776e-01,1.828062047492358033e+01
3.671540076892040538e+00,2.597670170297234904e+01,2.246286226092176719e+01,1.966634066945761816e+01
4.019779588872633269e+01,3.843035452103229233e+01,3.056308738662721680e+01,2.347721298117848931e+01
1.061630203165274189e+01,-4.632274411723539487e+00,4.880100116566686630e+00,1.077727124093969380e+01
8.211723587613088071e+00,2.310512609662468009e+01,2.282818311726582650e+01,1.420826310029447725e+01
3.430601314436475491e+01,3.106106707602565109e+01,2.943727389462678090e+01,1.978119731875073128e+01
1.587526023069276704e+00,1.609594132795188770e+01,2.128244889812484786e+01,1.707442374984624678e+01
-9.661127503129571248e-02,2.717434856349017025e+01,1.083339385228496177e+01,-2.830509057447960330e+00
2.146770436951505800e+01,4.041102967435637083e+01,9.822941207582842615e-01,-4.356854665629392720e+00
2.510989108506201717e+01,2.177130121157865261e+01,3.887741255215326763e-01,5.311702389632610988e-02
3.585529682442530941e+01,1.731094211830592400e+01,5.085483313329154598e+00,2.662341974871438310e+00
2.613300483870587954e+01,1.119057495306664407e+01,8.208817023026924176e-01,2.636418918666979039e+01
1.108165671201741365e+00,4.091249735553335043e-01,6.571277472272003983e+00,2.038193741645016210e+00
3.262140149145036361e+01,-4.219731807675035640e-01,6.133648083752323288e+00,1.703334758482434097e+01
5.763813430562352735e+00,3.184005101894241818e+01,2.078823619274608703e+01,3.839165027232212424e+01
1.357214877375812145e+00,3.718483035390394775e+01,6.357045124236510247e+00,4.066218603369583207e+01
1.380007160268485933e+01,2.018146895657924844e+01,7.339684384950080354e-01,3.096142927706534209e+01
8.948265754769389346e+00,4.021697881397261654e+01,2.830952782223582176e+01,8.966667518687710725e+00
1.098533179797841974e+01,3.381088490149971371e+00,3.436331605213126039e+01,1.661179656463802701e+01
1.167838105502558044e+01,4.200426493553845120e+01,3.437932002668313203e+01,2.390979692318007110e+01
3.438830123853689713e+01,8.952491310572954220e-01,2.875796428954243211e+01,1.096770360922591436e+01
2.942111588676466738e+01,4.244056721121337006e+01,3.343370942746174990e+01,2.288568265355158715e+01
3.192866702054148575e+01,1.808569707110394376e+01,1.180800909941059196e+01,-3.029207702772511279e+00
2.897573922319480388e+01,2.004303224512581139e+00,1.956100484106374537e+01,2.788158993460369572e+01
3.822780480664569325e+01,2.504827164747681323e+01,9.119113977680928684e+00,1.836828335159832193e+01
2.856160531668718150e+01,4.607325200911364327e+00,3.135124579193940519e+01,3.267380112246799229e+01
2.229142572122784927e+01,3.736269867856525906e+01,9.422278147841367968e+00,2.151217720229521291e+01
3.835184121198301455e+01,2.972783215721416639e+01,3.457955862182165419e+01,5.929198636642158071e+00
2.446306161200964269e+01,1.096232935112627871e+01,2.818547262970249534e+01,2.076533405310305014e+01
2.674087820736415111e+01,2.545834774145971124e+01,3.153551812135672350e+01,3.440457382350857785e+01
2.384098935134770336e+00,4.178493616582179015e+01,1.727476878448307218e+01,3.362219693188476022e+00
3.955392304495153155e+01,3.366942985266256727e+01,1.787584987238586010e+01,2.458178010005137892e+01
